French,English
histoire,history
chercher,search
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
